t,x,y,theta,v,omega,h,gamma1,gamma2
0.600000,0.332531,-0.088543,0.923774,1.177263,0.711313,0.897212,0.000000,0.000000
0.610000,0.339594,-0.079124,0.930887,1.181307,0.684464,0.893499,0.000000,0.000000
0.620000,0.346615,-0.069624,0.937732,1.184844,0.657827,0.889582,0.000000,0.000000
0.630000,0.353594,-0.060049,0.944310,1.187880,0.631386,0.885483,0.000000,0.000000
0.640000,0.360528,-0.050404,0.950624,1.190418,0.605128,0.881200,0.000000,0.000000
0.650000,0.367417,-0.040696,0.956675,1.192466,0.579038,0.876717,0.000000,0.000000
0.660000,0.374260,-0.030930,0.962466,1.194028,0.553101,0.872054,0.000000,0.000000
0.670000,0.381057,-0.021113,0.967997,1.195111,0.527302,0.867216,0.000000,0.000000
0.680000,0.387806,-0.011251,0.973270,1.195722,0.501625,0.862188,0.000000,0.000000
0.690000,0.394509,-0.001348,0.978286,1.195866,0.476055,0.856981,0.000000,0.000000
0.700000,0.401163,0.008588,0.983047,1.195552,0.450576,0.851609,0.000000,0.000000
0.710000,0.407770,0.018552,0.987552,1.194786,0.425171,0.846055,0.000000,0.000000
0.720000,0.414329,0.028538,0.991804,1.193575,0.399824,0.840331,0.000000,0.000000
0.730000,0.420840,0.038542,0.995802,1.191928,0.374517,0.834452,0.000000,0.000000
0.740000,0.427303,0.048556,0.999547,1.189854,0.349234,0.828399,0.000000,0.000000
0.750000,0.433719,0.058577,1.003040,1.187360,0.323957,0.822190,0.000000,0.000000
0.760000,0.440088,0.068598,1.006279,1.184456,0.298666,0.815838,0.000000,0.000000
0.770000,0.446410,0.078614,1.009266,1.181150,0.273345,0.809318,0.000000,0.000000
0.780000,0.452686,0.088621,1.011999,1.177453,0.247972,0.802663,0.000000,0.000000
0.790000,0.458916,0.098612,1.014479,1.173375,0.222530,0.795869,0.000000,0.000000
0.800000,0.465101,0.108583,1.016705,1.168926,0.196997,0.788929,0.000000,0.000000
0.810000,0.471241,0.118530,1.018674,1.164117,0.171354,0.781871,0.000000,0.000000
0.820000,0.477339,0.128446,1.020388,1.158960,0.145578,0.774678,0.000000,0.000000
0.830000,0.483393,0.138329,1.021844,1.153465,0.119648,0.767366,0.000000,0.000000
0.840000,0.489406,0.148172,1.023040,1.147646,0.093543,0.759947,0.000000,0.000000
0.850000,0.495378,0.157972,1.023976,1.141514,0.067238,0.752404,0.000000,0.000000
0.860000,0.501310,0.167725,1.024648,1.135085,0.040711,0.744769,0.000000,0.000000
0.870000,0.507204,0.177426,1.025055,1.128370,0.013938,0.737029,0.000000,0.000000
0.880000,0.513060,0.187071,1.025195,1.121384,-0.013106,0.729198,0.000000,0.000000
0.890000,0.518880,0.196656,1.025064,1.114143,-0.040445,0.721285,0.000000,0.000000
0.900000,0.524665,0.206178,1.024659,1.106661,-0.068105,0.713281,0.000000,0.000000
0.910000,0.530416,0.215633,1.023978,1.098956,-0.096113,0.705216,0.000000,0.000000
0.920000,0.536135,0.225017,1.023017,1.091043,-0.124494,0.697067,0.000000,0.000000
0.930000,0.541823,0.234328,1.021772,1.082939,-0.153275,0.688865,0.000000,0.000000
0.940000,0.547481,0.243561,1.020239,1.074664,-0.182482,0.680602,0.000000,0.000000
0.950000,0.553112,0.252715,1.018414,1.066236,-0.212144,0.672289,0.000000,0.000000
0.960000,0.558716,0.261786,1.016293,1.057675,-0.242287,0.663936,0.000000,0.000000
0.970000,0.564296,0.270771,1.013870,1.049000,-0.272939,0.655536,0.000000,0.000000
0.980000,0.569853,0.279668,1.011141,1.040234,-0.304125,0.647111,0.000000,0.000000
0.990000,0.575389,0.288475,1.008099,1.031397,-0.335873,0.638629,0.000000,0.000000
1.000000,0.580906,0.297189,1.004741,1.022514,-0.368208,0.630139,0.000000,0.000000
1.010000,0.586405,0.305810,1.001059,1.013607,-0.401156,0.621621,0.000000,0.000000
1.020000,0.591890,0.314334,0.997047,1.004701,-0.434739,0.613100,0.000000,0.000000
1.030000,0.597362,0.322760,0.992700,0.995822,-0.468981,0.604570,0.000000,0.000000
