t,x,y,theta,v,omega,h,gamma1,gamma2
6.000000,0.672607,0.647310,0.169555,0.330096,-0.429650,0.219360,1.654722,0.001000
6.100000,0.705253,0.652180,0.126590,0.411949,-0.433343,0.209705,1.885241,0.001000
6.200000,0.746218,0.656494,0.083255,0.535753,-0.429001,0.199921,2.215985,0.001000
6.300000,0.799687,0.659803,0.040355,0.772746,-0.385974,0.189996,1.183662,0.321722
6.400000,0.876939,0.661430,0.001758,0.724843,-0.418311,0.178663,0.572286,0.001000
6.500000,0.949405,0.660041,-0.040073,0.683381,-0.446804,0.170494,0.552241,0.001000
6.600000,1.017605,0.655779,-0.084754,0.647920,-0.474524,0.164620,0.552241,0.001000
6.700000,1.082010,0.648765,-0.132206,0.618194,-0.503259,0.160250,0.512150,0.001000
6.800000,1.143059,0.639078,-0.182532,0.594006,-0.533305,0.156457,0.502128,0.001000
6.900000,1.201157,0.626743,-0.235862,0.575137,-0.563571,0.152376,0.492105,0.001000
7.000000,1.256671,0.611735,-0.292219,0.561252,-0.592061,0.147165,0.512150,0.001000
7.100000,1.309907,0.593985,-0.351426,0.551829,-0.616815,0.139878,0.492105,0.001000
7.200000,1.361098,0.573404,-0.413107,0.545978,-0.637188,0.129484,0.482083,0.001000
7.300000,1.410371,0.549908,-0.476826,0.358626,-0.697518,0.114705,0.652466,0.001000
7.400000,1.441634,0.532351,-0.546578,0.009060,-0.739315,0.102900,0.742669,0.001000
7.500000,1.442390,0.531852,-0.620509,-0.032916,-0.648257,0.105443,0.872962,0.001000
7.600000,1.439776,0.533851,-0.685335,-0.019167,-0.551658,0.108843,1.013278,0.001000
7.700000,1.438326,0.535104,-0.740501,-0.022085,-0.472284,0.110965,1.173639,0.001000
7.800000,1.436732,0.536632,-0.787729,0.035734,-0.395008,0.112619,1.303932,0.001000
7.900000,1.439202,0.534050,-0.827230,0.036584,-0.339689,0.112417,1.354045,0.001000
8.000000,1.441632,0.531316,-0.861199,-0.092772,-0.306155,0.112030,1.514406,0.001000
8.100000,1.435696,0.538445,-0.891814,0.111357,-0.233468,0.114313,1.795038,0.001000
8.200000,1.442588,0.529699,-0.915161,-0.078822,-0.224632,0.112338,1.684789,0.001000
8.300000,1.437853,0.536000,-0.937624,0.041931,-0.171281,0.113952,2.045602,0.001000
8.400000,1.440305,0.532599,-0.954752,-0.047959,-0.156893,0.113339,2.055624,0.001000
8.500000,1.437565,0.536535,-0.970442,0.195464,-0.113465,0.114136,2.226008,0.231519
8.600000,1.448515,0.520344,-0.981788,-0.322455,-0.180916,0.110726,1.855173,0.001000
8.700000,1.430845,0.547316,-0.999880,1.357048,-0.012181,0.115380,0.001000,1.093459
8.800000,1.504111,0.433089,-1.001098,0.215840,-1.353924,0.033988,0.001000,0.001000
8.900000,1.514489,0.414182,-1.136490,0.210648,-1.293804,0.025273,0.001000,0.001000
9.000000,1.522094,0.394554,-1.265871,0.205135,-1.195625,0.019172,0.001000,0.001000
9.100000,1.527069,0.374665,-1.385433,-0.010065,-1.113398,0.014216,0.101226,0.351789
9.200000,1.526939,0.375663,-1.496773,-0.150840,-0.869521,0.025763,0.321722,0.371835
9.300000,1.526478,0.390735,-1.583725,-0.041561,-0.565569,0.038421,0.381857,0.381857
9.400000,1.526650,0.394887,-1.640282,0.470837,-0.344953,0.041805,0.031068,0.431970
9.500000,1.522571,0.347983,-1.674777,0.034608,-0.478639,0.031978,0.582308,0.371835
9.600000,1.522130,0.344551,-1.722641,0.528855,-0.246531,0.032655,0.241541,0.431970
9.700000,1.513487,0.292377,-1.747294,0.613155,-0.187738,0.028006,0.001000,0.001000
9.800000,1.502155,0.232119,-1.766068,1.248574,0.134687,0.025307,0.001000,0.001000
9.900000,1.478754,0.109475,-1.752599,1.311930,0.400625,0.033873,0.001000,0.512150
10.000000,1.457624,-0.019996,-1.712537,1.274560,0.526213,0.070146,0.482083,0.001000
10.100000,1.442947,-0.146590,-1.659915,1.294965,0.714805,0.106753,0.602353,0.001000
10.200000,1.436039,-0.275874,-1.588435,1.317328,0.974740,0.152885,0.592331,0.001000
10.300000,1.440133,-0.407491,-1.490961,1.317916,1.143015,0.198102,0.592331,0.001000
10.400000,1.458121,-0.537977,-1.376659,1.309827,1.242691,0.231779,0.582308,0.001000
10.500000,1.491300,-0.664601,-1.252390,1.294733,1.266485,0.249489,0.542218,0.001000
10.600000,1.539500,-0.784674,-1.125742,1.268055,1.209879,0.251423,0.482083,0.001000
10.700000,1.600873,-0.895550,-1.004754,1.224665,1.085069,0.240252,0.381857,0.001000
10.800000,1.672025,-0.995153,-0.896247,1.166570,0.925669,0.219524,0.311699,0.001000
10.900000,1.748993,-1.082761,-0.803680,1.101268,0.763803,0.193250,0.291654,0.001000
11.000000,1.828379,-1.159048,-0.727300,1.034514,0.615993,0.165097,0.522173,0.001000
11.100000,1.907724,-1.225405,-0.665700,0.736194,0.532935,0.137417,0.712602,0.001000
11.200000,1.966808,-1.269310,-0.612407,0.430242,0.435193,0.118585,0.852917,0.001000
11.300000,2.002540,-1.293268,-0.568888,0.206005,0.319875,0.108196,0.993233,0.001000
11.400000,2.020071,-1.304086,-0.536900,0.088408,0.209132,0.103504,1.083436,0.001000
11.500000,2.027714,-1.308528,-0.515987,-0.014327,0.127135,0.101560,1.183662,0.001000
11.600000,2.026464,-1.307829,-0.503273,0.001050,0.068676,0.102060,1.183662,0.001000
11.700000,2.026556,-1.307879,-0.496406,-0.042235,0.040199,0.102070,1.233774,0.001000
11.800000,2.022838,-1.305875,-0.492386,-0.029602,0.026341,0.103154,1.233774,0.001000
11.900000,2.020228,-1.304479,-0.489752,-0.011465,0.025169,0.103912,1.223752,0.001000
12.000000,2.019215,-1.303941,-0.487235,-0.037689,0.032579,0.104204,1.253820,0.001000
12.100000,2.015882,-1.302182,-0.483977,0.011739,0.041010,0.105176,1.213729,0.001000
12.200000,2.016922,-1.302726,-0.479876,0.001667,0.056405,0.104856,1.223752,0.001000
12.300000,2.017071,-1.302803,-0.474235,0.045168,0.069985,0.104795,1.183662,0.001000
12.400000,2.021096,-1.304851,-0.467237,0.041711,0.088354,0.103615,1.183662,0.001000
12.500000,2.024828,-1.306714,-0.458401,0.031646,0.104570,0.102547,1.193684,0.001000
12.600000,2.027674,-1.308099,-0.447944,0.036481,0.117071,0.101746,1.193684,0.001000
12.700000,2.030971,-1.309660,-0.436237,0.043318,0.128101,0.100846,1.193684,0.001000
12.800000,2.034909,-1.311465,-0.423427,0.071864,0.137177,0.099775,1.173639,0.001000
12.900000,2.041480,-1.314373,-0.409710,0.068865,0.148149,0.098043,1.183662,0.001000
13.000000,2.047817,-1.317069,-0.394895,0.110513,0.153360,0.096452,1.153594,0.001000
13.100000,2.058050,-1.321242,-0.379559,0.109488,0.162007,0.093977,1.163617,0.001000
13.200000,2.068252,-1.325216,-0.363358,0.112464,0.168100,0.091586,1.173639,0.001000
13.300000,2.078797,-1.329125,-0.346548,0.129825,0.171842,0.089260,1.173639,0.001000
13.400000,2.091045,-1.333429,-0.329364,0.168804,0.175640,0.086639,1.153594,0.001000
13.500000,2.107065,-1.338749,-0.311800,0.159155,0.185036,0.083425,1.183662,0.001000
13.600000,2.122258,-1.343491,-0.293296,0.196941,0.192002,0.080526,1.173639,0.001000
13.700000,2.141164,-1.349003,-0.274096,0.210551,0.204612,0.077177,1.193684,0.001000
13.800000,2.161490,-1.354494,-0.253635,0.215156,0.220867,0.073807,1.233774,0.001000
13.900000,2.182376,-1.359663,-0.231548,0.208615,0.239932,0.070678,1.303932,0.001000
14.000000,2.202736,-1.364206,-0.207555,0.216869,0.258330,0.067867,1.384113,0.001000
14.100000,2.224013,-1.368400,-0.181722,0.242303,0.275876,0.065284,1.484338,0.001000
14.200000,2.247901,-1.372450,-0.154134,0.273153,0.295643,0.062734,1.634677,0.001000
14.300000,2.274951,-1.376244,-0.124570,0.320406,0.316540,0.060295,1.865195,0.001000
14.400000,2.306801,-1.379721,-0.092916,0.635239,0.282606,0.058013,1.955398,0.913053
14.500000,2.370125,-1.384721,-0.064655,1.254477,0.139040,0.054534,0.001000,1.654722
14.600000,2.495363,-1.391955,-0.050751,1.155184,0.204977,0.050213,0.001000,1.674767
14.700000,2.610785,-1.396633,-0.030253,1.067744,0.270990,0.048638,0.001000,1.644699
14.800000,2.717541,-1.398416,-0.003154,0.991468,0.335452,0.049478,0.001000,1.494361
14.900000,2.816674,-1.397066,0.030391,0.925591,0.397068,0.052685,0.001000,1.133549
15.000000,2.909111,-1.392418,0.070098,0.869303,0.454417,0.058498,0.371835,0.001000
15.100000,2.995659,-1.384361,0.115539,0.821762,0.505982,0.067232,0.411925,0.001000
15.200000,3.077013,-1.372827,0.166137,0.782096,0.550263,0.079287,0.381857,0.001000
15.300000,3.153751,-1.357778,0.221164,0.749422,0.585975,0.095002,0.401902,0.001000
15.400000,3.226345,-1.339206,0.279761,0.722858,0.612179,0.114650,0.401902,0.001000
15.500000,3.295166,-1.317133,0.340979,0.701549,0.628389,0.138319,0.411925,0.001000
15.600000,3.360501,-1.291611,0.403818,0.684685,0.634596,0.166017,0.421947,0.001000
15.700000,3.422567,-1.262729,0.467277,0.671524,0.631241,0.197488,0.411925,0.001000
15.800000,3.481527,-1.230608,0.530402,0.661392,0.619125,0.232383,0.431970,0.001000
15.900000,3.537507,-1.195405,0.592314,0.653700,0.599316,0.270118,0.411925,0.001000
16.000000,3.590615,-1.157307,0.652246,0.647937,0.573046,0.310119,0.431970,0.001000
16.100000,3.640953,-1.116526,0.709550,0.643668,0.541608,0.351656,0.401902,0.001000
16.200000,3.688626,-1.073290,0.763711,0.640527,0.506288,0.394024,0.401902,0.001000
16.300000,3.733749,-1.027839,0.814340,0.638209,0.468302,0.436524,0.421947,0.001000
16.400000,3.776450,-0.980415,0.861170,0.636464,0.428761,0.478511,0.381857,0.001000
16.500000,3.816871,-0.931258,0.904046,0.635090,0.388644,0.519381,0.401902,0.001000
16.600000,3.855168,-0.880600,0.942911,0.633921,0.348792,0.558665,0.381857,0.001000
16.700000,3.891504,-0.828660,0.977790,0.632824,0.309893,0.595944,0.381857,0.001000
16.800000,3.926051,-0.775642,1.008779,0.631692,0.272499,0.630879,0.401902,0.001000
16.900000,3.958982,-0.721738,1.036029,0.630440,0.237024,0.663257,0.371835,0.001000
17.000000,3.990466,-0.667120,1.059732,0.629001,0.203750,0.692841,0.381857,0.001000
17.100000,4.020669,-0.611947,1.080106,0.627320,0.172848,0.719499,0.381857,0.001000
17.200000,4.049751,-0.556364,1.097391,0.625352,0.144393,0.743102,0.351789,0.001000
17.300000,4.077859,-0.500503,1.111831,0.623061,0.118365,0.763550,0.371835,0.001000
17.400000,4.105131,-0.444482,1.123667,0.620415,0.094683,0.780726,0.391880,0.001000
17.500000,4.131691,-0.388414,1.133135,0.617389,0.073204,0.794570,0.371835,0.001000
17.600000,4.157653,-0.332399,1.140456,0.613959,0.053751,0.804934,0.361812,0.001000
17.700000,4.183116,-0.276532,1.145831,0.610102,0.036124,0.811722,0.381857,0.001000
17.800000,4.208169,-0.220903,1.149443,0.605795,0.020106,0.814834,0.401902,0.001000
17.900000,4.232890,-0.165598,1.151454,0.601015,0.005477,0.814120,0.371835,0.001000
18.000000,4.257346,-0.110697,1.152002,0.595735,-0.007984,0.809517,0.411925,0.001000
18.100000,4.281594,-0.056281,1.151203,0.589922,-0.020498,0.800895,0.401902,0.001000
18.200000,4.305682,-0.002431,1.149153,0.583539,-0.032289,0.788202,0.421947,0.001000
18.300000,4.329650,0.050774,1.145924,0.576540,-0.043590,0.771415,0.441992,0.001000
18.400000,4.353530,0.103250,1.141565,0.568866,-0.054653,0.750470,0.452015,0.001000
18.500000,4.377345,0.154911,1.136100,0.560443,-0.065773,0.725458,0.421947,0.001000
18.600000,4.401115,0.205665,1.129523,0.551172,-0.077299,0.696449,0.462038,0.001000
18.700000,4.424847,0.255411,1.121793,0.540921,-0.089714,0.663570,0.441992,0.001000
18.800000,4.448545,0.304035,1.112822,0.529510,-0.103658,0.627045,0.502128,0.001000
18.900000,4.472202,0.351408,1.102456,0.516683,-0.120086,0.587144,0.562263,0.001000
19.000000,4.495802,0.397371,1.090447,0.502074,-0.140480,0.544205,0.602353,0.001000
19.100000,4.519314,0.441732,1.076399,0.485173,-0.167180,0.498718,0.682534,0.001000
19.200000,4.542691,0.484245,1.059681,0.307210,-0.207786,0.451213,1.023301,0.001000
19.300000,4.557996,0.510882,1.038903,0.086992,-0.234672,0.419564,1.103481,0.001000
19.400000,4.562495,0.518327,1.015435,0.074709,-0.219578,0.410670,1.093459,0.001000
19.500000,4.566504,0.524631,0.993478,0.057462,-0.208692,0.403025,1.093459,0.001000
19.600000,4.569690,0.529413,0.972608,0.018128,-0.200232,0.397209,1.123526,0.001000
19.700000,4.570726,0.530901,0.952585,0.048023,-0.186910,0.395465,1.103481,0.001000
19.800000,4.573545,0.534788,0.933894,0.091902,-0.184722,0.390605,1.053368,0.001000
19.900000,4.579079,0.542126,0.915422,-0.026433,-0.198578,0.381275,1.143571,0.001000
20.000000,4.577447,0.540046,0.895564,0.086796,-0.180658,0.384050,1.063391,0.001000
20.100000,4.582933,0.546772,0.877498,-0.008773,-0.198779,0.375367,1.133549,0.001000
20.200000,4.582366,0.546103,0.857620,0.036590,-0.189694,0.376290,1.113504,0.001000
20.300000,4.584786,0.548847,0.838651,0.038825,-0.196031,0.372752,1.113504,0.001000
20.400000,4.587410,0.551709,0.819048,0.031392,-0.203513,0.369026,1.123526,0.001000
20.500000,4.589577,0.553980,0.798697,0.029571,-0.209059,0.366057,1.133549,0.001000
20.600000,4.591662,0.556077,0.777791,0.090656,-0.212870,0.363310,1.083436,0.001000
20.700000,4.598188,0.562369,0.756504,0.002113,-0.236845,0.354946,1.153594,0.001000
20.800000,4.598343,0.562512,0.732819,0.053754,-0.230410,0.354815,1.133549,0.001000
20.900000,4.602380,0.566062,0.709778,0.100089,-0.240244,0.350065,1.093459,0.001000
21.000000,4.610049,0.572493,0.685754,0.036231,-0.264590,0.341363,1.143571,0.001000
21.100000,4.612883,0.574750,0.659295,0.061259,-0.265470,0.338347,1.143571,0.001000
21.200000,4.617774,0.578437,0.632748,0.056894,-0.274909,0.333344,1.163617,0.001000
21.300000,4.622408,0.581738,0.605257,0.099997,-0.280652,0.328842,1.143571,0.001000
21.400000,4.630710,0.587312,0.577192,0.086607,-0.298932,0.321102,1.163617,0.001000
21.500000,4.638037,0.591929,0.547299,0.098870,-0.309716,0.314678,1.173639,0.001000
21.600000,4.646558,0.596942,0.516327,0.103321,-0.322262,0.307623,1.193684,0.001000
21.700000,4.655624,0.601897,0.484101,0.136552,-0.332238,0.300610,1.193684,0.001000
21.800000,4.667814,0.608051,0.450877,0.135381,-0.349388,0.291755,1.223752,0.001000
21.900000,4.680100,0.613736,0.415938,0.151391,-0.361859,0.283505,1.253820,0.001000
